Net,Temperature
33923.956,-3.0
37140.737,-2.8
39084.653,-2.8
38984.172000000006,-3.0
37901.979,-3.1
36528.136000000006,-3.1
35048.157,-3.2
33735.533,-3.3
32948.999,-2.8
32811.105,-2.2
33809.130000000005,-1.6
35928.351,-1.3
39030.887,-0.8
39806.822,-0.9
39586.858,-1.2
38979.298,-1.2
37543.482,-2.2
35523.897999999994,-4.1
33723.596000000005,-6.0
32485.038,-6.6
32118.793,-7.4
31981.334,-8.0
32303.856000000003,-8.6
33273.842000000004,-9.2
35519.686,-9.4
38810.48100000001,-9.6
40447.477,-9.8
38937.166000000005,-9.9
36194.5,-9.9
34399.305,-10.1
33154.388,-10.1
32393.018,-9.8
32181.866,-6.2
32789.171,-3.0
33733.767,0.4
35577.715000000004,1.8
38478.846000000005,2.3
39262.976,2.5
39106.283,2.3
38471.687,1.7
37063.998,0.6
34948.831,-0.8
33130.666,-2.7
31968.666,-3.7
31506.783,-4.7
31283.882,-5.6
31559.732,-6.3
32492.924,-7.0
34607.321,-7.5
37903.452000000005,-7.9
39476.786,-8.4
38546.204,-8.7
37254.419,-9.0
36542.506,-9.1
35746.284,-9.1
35078.429000000004,-8.8
34821.903999999995,-5.0
34613.33,-0.2
35055.874,0.9
36525.899,1.2
38487.706000000006,1.5
38523.544,2.3
37973.21,2.3
37053.119,2.1
35405.204,1.6
33201.405,-0.2
31275.378,-2.0
29927.248,-2.8
29359.286,-2.1
29234.777,-1.7
29453.296,-0.7
30486.444,-1.3
32790.763,-1.8
36253.05,-2.8
37957.014,-3.5
37115.118,-4.1
35549.688,-4.9
34310.1,-4.8
34227.861,-5.3
34430.176,-6.0
34551.676,-5.6
34929.529,-4.8
35560.507000000005,-3.8
36924.026,-2.6
38990.787,-1.8
39206.764,-1.0
38793.622,-1.3
37967.55100000001,-2.1
36302.894,-2.9
34054.282,-3.4
32137.236,-3.6
30872.58,-3.9
30124.727000000003,-3.7
29911.595,-4.2
30021.212000000003,-4.7
30693.468,-4.2
32574.139,-3.1
35305.62100000001,-2.5
37020.088,-2.9
37352.761,-2.9
37101.123,-2.8
36416.991,-3.3
35711.948,-3.4
34772.484,-3.5
34113.138,-2.8
33573.177,-1.2
33694.73,0.7
34871.89,2.0
36753.182,2.8
36901.62100000001,3.3
36358.227000000006,3.9
35476.598,3.5
34196.766,2.8
32359.166,2.5
30683.078,0.3
29360.459,-1.3
28610.914,-1.3
28151.881,-1.4
28058.442000000003,-1.7
28303.291,-2.3
29117.032000000003,-2.2
30339.599,-2.7
31477.9,-3.7
32547.42,-4.0
33203.866,-4.7
33532.779,-5.6
33497.954,-6.2
33378.203,-6.1
33181.969000000005,-2.9
33009.122,-0.4
33484.341,0.8
34541.314,1.3
35973.73,1.6
35923.667,1.7
35256.613,0.8
34451.397000000004,-0.2
33252.41,-0.7
31513.921,-1.5
29887.476,-2.0
28398.823,-1.7
27597.075,-0.9
26910.332999999995,-0.3
26543.95,0.2
26375.639,0.2
26693.544,0.5
27341.431,0.8
28311.087000000003,1.0
29373.509,1.0
30521.725,1.0
31164.199,1.0
31457.601,1.2
31687.69,1.2
31581.271,1.4
31666.75,1.7
32446.146,1.6
35273.802,1.2
38718.298,1.1
40009.689,1.3
40321.721000000005,2.7
40106.351,-0.2
39320.59,-1.7
38561.839,-1.8
37573.18,-2.5
36868.42600000001,-4.0
36797.268,-6.5
37053.894,-9.2
37584.093,-10.7
38619.997,-11.9
40548.664,-13.1
42989.51099999999,-14.0
44430.295,-14.9
44208.25400000001,-15.7
43186.239,-16.6
42206.18,-16.9
41601.303,-17.1
41002.545,-17.1
40276.27,-16.7
40258.782,-16.6
41453.529,-16.1
44043.6,-15.5
47038.40299999999,-15.4
47611.007000000005,-15.1
47118.908,-15.1
46302.668,-15.3
44575.494000000006,-15.3
42244.055,-15.1
40360.761,-14.8
39029.347,-14.8
38427.588,-15.0
38167.617,-15.2
38363.324,-15.3
39198.669,-15.2
41254.292,-15.1
44253.50400000001,-14.8
45503.903,-14.3
43674.458,-14.4
40665.413,-14.4
38451.333,-13.6
36805.986,-13.3
35511.51899999999,-13.5
34870.93,-12.2
34856.799,-9.9
36314.405,-7.6
38787.296,-5.9
41662.255000000005,-4.9
42114.092,-4.0
41808.048,-3.3
40899.267,-3.3
39314.82,-4.6
36864.46799999999,-5.9
34844.594,-7.2
33213.313,-8.1
32510.504,-8.2
32227.016,-8.3
32241.369,-8.7
32933.701,-9.0
34826.89,-9.5
37856.434,-9.8
39092.475000000006,-9.4
38325.164,-9.8
37503.536,-9.9
36601.825,-9.8
35542.439,-8.5
34244.539,-7.0
33544.352,-4.6
33502.662000000004,-0.5
34091.118,3.8
35133.32,4.4
36972.89000000001,4.7
37143.595,5.1
36520.255,5.4
35445.055,5.3
33644.248,5.5
31182.83,5.2
28930.811,5.3
27321.301,6.1
26410.355,6.6
25842.812,8.4
25747.172,8.8
26287.513,8.8
28016.889,9.2
31012.205,9.2
32668.272,8.9
32665.223,9.2
32710.553,10.2
32815.751,10.9
32716.757,11.2
32630.958,11.4
32739.225,11.6
32426.351,11.7
32300.923,11.4
33574.196,11.5
35790.195,12.0
36518.256,12.3
36362.384,12.2
35774.098,12.3
34476.950000000004,12.1
32520.915,11.7
30752.338,10.7
29614.582,8.9
29064.86,5.9
28934.055,3.3
29147.139,2.3
29952.898,1.8
32025.523,1.0
