Net,Temperature
12759.079,-3.2
13783.846,-1.8
15287.865,-1.2
15707.903,-1.0
15685.853,-0.8
15436.344,-0.7
14942.922,-0.8
14263.33,-1.1
13707.223,-1.1
13367.579,-1.0
13264.843,-0.8
13275.325,-0.5
13434.45,-0.3
13963.723999999998,-0.6
14775.728,-0.7
15864.823,-0.5
16385.35,-0.7
15829.766,-1.1
14552.164,-1.1
13375.929,-1.3
12237.806,-1.2
11458.625,-1.1
11008.441,-1.3
11204.971,-0.5
11415.491999999998,0.8
12739.177,1.8
14242.96,2.7
14810.21,3.5
14905.577,4.1
14966.157,4.2
14630.586,3.9
14148.337,2.9
13761.823,3.1
13614.381,2.3
13594.508,1.7
13658.523999999998,0.4
13888.625,-0.3
14402.375,-0.3
15374.801,-0.6
16524.299,-0.5
16783.825,0.0
14872.304,0.8
12615.668999999998,0.8
11431.228,0.4
10759.392,0.5
10201.234,1.3
9679.074,1.7
9304.887,1.3
9811.991999999998,2.6
11693.49,4.0
13475.551,5.2
14011.236,6.1
14067.368,6.6
14025.121,6.3
13607.271,5.5
13000.908,3.7
12475.522,2.9
12228.286999999998,2.0
12115.468,0.8
12167.283,0.3
12356.198,0.1
12761.153,0.7
13613.042,1.6
14773.53,1.4
15186.731,1.7
13824.293,0.9
13177.886,0.2
12852.11,-0.1
12377.649,-0.7
12036.277,-0.7
11463.456,-0.1
10893.58,0.1
11753.933,0.3
13145.96,0.7
14224.833,0.7
14416.173,1.1
14323.057,0.9
14012.888,0.8
13486.012,-0.3
12717.704,-1.0
12041.893999999998,-1.0
11658.811999999998,-1.1
11458.506,-1.2
11401.262,-1.3
11480.849,-1.2
11886.022,-1.2
12597.746,-1.2
13708.086,-1.2
14118.559,-1.0
12959.808,-1.3
11453.389,-1.2
10842.502,-1.1
10245.343999999996,-0.9
9734.408,-1.3
9530.002,-0.5
9517.899,0.3
9807.697,-0.3
11015.137,0.8
12482.622,3.1
12913.266,2.4
12704.494,3.2
12607.0,4.8
12267.961,5.7
11812.979,6.2
11284.858,6.2
10926.407,3.6
10695.514,2.8
10609.555,2.4
10608.817,2.7
10726.77,2.8
11077.923,1.4
11498.807,2.6
12021.738,2.5
12219.091,1.9
11948.97,1.6
11905.383,1.2
11608.928,1.1
11494.673,0.6
11419.591,0.5
11650.168,1.5
11834.187,1.6
12248.834,1.6
12882.157,1.4
12898.683,1.1
12681.645,1.0
12340.363,0.9
11931.853,0.7
11312.598999999998,0.5
10726.148,0.2
10369.488,0.0
10033.7,0.1
9826.866,0.3
9624.156,0.7
9595.396,1.3
9690.31,2.0
10029.385,2.0
10435.127,1.8
10598.351,1.2
10374.101,2.1
10223.839,4.1
10354.953,6.5
10640.434,7.6
10719.555,7.3
10447.108,6.4
10864.129,5.5
12102.946000000002,5.2
14050.17,4.4
14936.246,2.6
15258.481000000002,1.5
15422.593,0.7
15358.491,-0.9
15294.86,-2.8
15220.671,-4.0
15214.608,-4.9
15368.223999999998,-5.6
15705.602,-6.6
16122.838,-7.5
16747.457,-8.5
17561.459,-9.2
18494.776,-10.0
18964.38,-10.9
17460.321,-11.6
15892.116999999998,-12.0
15291.461,-12.4
14832.878,-12.6
14391.861,-12.8
13813.573,-11.9
13307.121,-10.6
13517.531,-9.0
15688.812,-7.5
17930.189,-6.2
18551.105,-5.1
18580.042,-4.5
18461.044,-4.3
18076.781,-4.6
17460.126,-6.2
17028.949,-7.3
16868.358,-7.8
16901.796,-8.1
16906.343,-8.6
17146.079999999998,-9.1
17702.237,-9.9
18564.33,-10.0
19599.678,-9.5
19797.57,-9.8
17633.695,-10.1
15211.972,-10.6
14092.075,-10.6
13221.855,-10.3
12496.997,-9.9
11827.8,-8.5
11376.331,-7.6
11719.029,-5.9
13744.154,-4.1
15686.411999999998,-2.4
16266.151000000002,-1.3
16258.497,-0.9
16062.093,-0.9
15593.823000000002,-1.3
14840.364,-1.9
14176.663,-2.2
13806.702,-2.5
13595.223000000002,-2.3
13506.451,-2.0
13556.931,-2.1
13797.995,-1.9
14455.846,-2.5
15498.935,-2.3
15718.383999999998,-2.3
14418.065,-1.7
12809.85,-1.2
11971.033,-0.6
11444.547,-0.4
10922.616999999998,-0.2
10485.165,0.6
10571.538,1.8
10841.456000000002,2.3
11435.263,2.3
12383.475,2.3
